,count,unique,top,freq,mode,freq_mode,%mode,2ndmode,freq_2ndmode,%2ndmode,%missing
case_month,45339,40,2022-01,5226,2022-01,5226,0.11526500363925098,2020-12,3475,0.07664483116081078,0.0
res_state,45338,49,NY,4744,NY,4744,0.10463628744099872,NC,4449,0.09812960430543914,0.002205606652109663
state_fips_code,45338.0,49.0,36.0,4744.0,36.0,4744,0.10463628744099872,37.0,4449,0.09812960430543914,0.002205606652109663
res_county,42580,963,MIAMI-DADE,802,MIAMI-DADE,802,0.01883513386566463,MARICOPA,614,0.014419915453264444,6.08526875317056
county_fips_code,42580.0,1385.0,12086.0,802.0,12086.0,802,0.01883513386566463,4013.0,614,0.014419915453264444,6.08526875317056
age_group,44946,5,18 to 49 years,17939,18 to 49 years,17939,0.399123392515463,65+ years,12719,0.2829840252747742,0.9925229934493484
sex,44229,4,Female,23107,Female,23107,0.5224400280359041,Male,20929,0.47319631915711413,2.8739054676988904
race,39427,8,White,27609,White,27609,0.700256169629949,Black,4689,0.11892865295355974,25.165971900571254
ethnicity,38883,4,Non-Hispanic/Latino,27135,Non-Hispanic/Latino,27135,0.6978628192269115,Unknown,5957,0.15320319934161458,32.31213745340656
process,45339,10,Missing,40960,Missing,40960,0.9034164847041178,Clinical evaluation,1995,0.04400185270958777,90.67028386157612
exposure_yn,45339,3,Missing,38566,Missing,38566,0.8506142614526125,Yes,4744,0.1046339795760824,89.53660204239175
current_status,45339,2,Laboratory-confirmed case,37894,Laboratory-confirmed case,37894,0.8357925847504356,Probable Case,7445,0.1642074152495644,0.0
symptom_status,45339,4,Symptomatic,21562,Symptomatic,21562,0.47557290632788546,Missing,18278,0.40314078387260416,50.695868898740606
hosp_yn,45339,4,No,23619,No,23619,0.5209422351617813,Missing,9764,0.21535543351198747,33.765632237146825
icu_yn,45339,4,Missing,35193,Missing,35193,0.7762191490769537,Unknown,6338,0.13979134961071044,91.60104986876641
death_yn,45339,2,No,36657,No,36657,0.808509230463839,Yes,8682,0.19149076953616093,0.0
underlying_conditions_yn,4080,2,Yes,4019,Yes,4019,0.9850490196078432,No,61,0.014950980392156863,91.00112485939258
